Date Value,Month-Year,Quarter-FY,Annual-FY,Average 311 Call Wait (minutes) Actual (Monthly),TARGET: Average 311 Call Wait (minutes) (under) (Monthly),% of 311 Calls Answered within 2 Minutes (Quarterly),% of 311 Calls Answered within 2 Minutes (Monthly),TARGET: % of 311 Calls Answered within 2 Minutes (Monthly),Response to Desktop Support Requests (Annual FY),Response to Desktop Support Requests (Monthly),% of Total 311 Calls Answered (Monthly),TARGET: % of Total 311 Calls Answered (Monthly),% of Satisfaction as Good to Excellent for Service Desk End User Satisfaction Survey,Average Score End User Satisfaction Survey (target of 5) (Monthly),Number of MyLA311 App Downloads (Monthly),TARGET: Number of MyLA311 App Downloads (Monthly),Number of MyLA311 requests submitted (Monthly),311 Request - Bulky Item Pick-Up (Monthly),311 Request - Online Request for Permit Inspection (Monthly),311 Request - Graffiti Removal - Community Beautification (Monthly),311 Request - Subject Specialty Group - LADBS (Monthly),311 Request - Report a Property Violation (Monthly),311 Request - Pool Noise Inspection (Monthly),311 Request - 877 ASK-LAPD - Non-Emergency Police Service (Monthly),311 Request - Police Station Locations (Monthly),311 Request - Report Streetlight Outages (Monthly),311 Request - Official Police Garage Tow (Monthly),% of Calls Abandoned (Hung Up) (Monthly),TARGET: % of Calls Abandoned (Hung Up) (Monthly),% of Calls - Spanish (Monthly),% of Total 311 Requests Using MyLA311 (Monthly),% of Total 311 Requests Using LACity.org (Monthly),# of MyLA311 MyLA311 APP Downloads (Monthly),Total # of 311 Requests (Monthly),Total # of 311 Calls ONLY (Monthly),% 311 Call Taker Headcount vs Positions (Monthly),# of Communications Equipment (Subscriber Units) Installations and Repairs Completed (Annual FY),PROJECTED: # of Communications Equipment (Subscriber Units) Installations and Repairs Completed (Annual FY),# of Communications Equipment (Subscriber Units) Installations and Repairs Completed (Monthly),TARGET: # of Communications Equipment (Subscriber Units) Installations and Repairs Completed (Monthly),# of Communications Equipment (Infrastructure) Installations and Repairs Completed (Annual FY),PROJECTED: # of Communications Equipment (Infrastructure) Installations and Repairs Completed (Annual FY),# of Communications Equipment (Infrastructure) Installations and Repairs Completed (Monthly),TARGET: # of Communications Equipment (Infrastructure) Installations and Repairs Completed (Monthly),Response to OPENED Network Maintenance Tickets (Annual FY),Response to OPENED Network Maintenance Tickets (Monthly),Response to CLOSED Network Maintenance Tickets (Monthly),TARGET: Response to Network Maintenance Tickets (Annual FY),Network Availability Actual (Monthly),TARGET: Network Availability (Monthly),% of Public Safety System Availability (Monthly),PROJECTED: % of Public Safety System Availability (Monthly),Responses to major systems support requests (Annual FY),PROJECTED: Responses to major systems support requests (Annual FY),Responses to Major Systems Support Requests (Monthly),TARGET: Responses to Major Systems Support Requests  (Monthly),% of Data Center Servers That Are Virtualized (Monthly),PROJECTED: Share of Servers That are Virtual (Annually-FY),# of Servers in Data Center (Monthly),PROJECTED: Share of Servers That are Physical (Annually-FY),City Datasets Available to Public (Monthly),TARGET: City Datasets Available to Public (Monthly),Availability of lacity.org Actual (Monthly),TARGET: Availability of lacity.org (Annual FY),Number of Unique Visitors to City Sites (Monthly),TARGET: Number of Unique Visitors to City Sites (Annual FY)
06/30/2010 12:00:00 AM,Jun-10,Q4 FY10,FY 2010,,,,,,6531,,,,,,,,,,,,,,,,,,,,,,,,,,0,,7327,,,,,,,,1758,,,,,,,,,,,,,,693,,,,,,,1672347
06/30/2011 12:00:00 AM,Jun-11,Q4 FY11,FY 2011,,,,,,6686,,,,,,,,,,,,,,,,,,,,,,,,,,0,,6120,,,,,,,,1685,,,,,,,,,,,,,,729,,,,,,,1616722
06/30/2012 12:00:00 AM,Jun-12,Q4 FY12,FY 2012,,,,,,6324,,,,,,,,,,,,,,,,,,,,,,,,,,0,,5937,,,,,,,,1587,,,,,,,,,,,,,,784,,,,,,,1702414
07/31/2012 12:00:00 AM,Jul-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/2012 12:00:00 AM,Aug-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2012 12:00:00 AM,Sep-12,Q1 FY13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2012 12:00:00 AM,Oct-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2012 12:00:00 AM,Nov-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2012 12:00:00 AM,Dec-12,Q2 FY13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/31/2013 12:00:00 AM,Jan-13,,,5.1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/2013 12:00:00 AM,Feb-13,,,5.9,3,,,,,,55.55%,95%,,,0,,,6501,3944,2299,1549,1428,1444,865,562,946,665,44.4%,,7.4%,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2013 12:00:00 AM,Mar-13,Q3 FY13,,3.7,3,,,,,,71%,95%,,,898,,,9088,5024,2873,2337,1721,2051,1306,819,996,770,29.2%,,7.8%,0.1%,0%,898,88489,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/30/2013 12:00:00 AM,Apr-13,,,0.98,3,,,,,,91%,95%,,,9592,,,9604,6984,3230,2446,2334,1730,1726,1346,1162,1095,8.7%,,7.9%,2.8%,0%,9592,90185,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/2013 12:00:00 AM,May-13,,,1.03,3,,,,,,91%,95%,,,820,,,10113,7492,3169,2705,2270,1570,1828,1422,1065,1098,9.5%,,7.9%,1.8%,0.2%,820,95481,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
